key_resp.keys,key_resp.rt,key_resp.duration,participant,date,expName,psychopyVersion,OS,frameRate,Response.text,accept.keys,accept.corr,accept.rt,accept.duration,recall_loop.thisRepN,recall_loop.thisTrialN,recall_loop.thisN,recall_loop.thisIndex,recall_loop.ran,Word1,WORD_length1,Emo_condition,length_group_emo,Word2,WORD_length2,Ima_condition,length_group_ima,Randomize
,,,TEST,2024-07-02_11h24.37.039,SNORE_recall_online,2023.1.3,iPad,62.5,Reptil,"[""return""]",0,[4.105000000000018],[null],0,9,9,1,1,Kiwi,4,emo_mid,short_word,Reptil,6,ima_high,short_word,TRUE
,,,TEST,2024-07-02_11h24.37.039,SNORE_recall_online,2023.1.3,iPad,62.5,Rebhuhn,"[""return""]",0,[45.130000000000024],[null],0,10,10,32,1,Strauch,7,emo_mid,long_word,Rebhuhn,7,ima_high,long_word,TRUE
,,,TEST,2024-07-02_11h24.37.039,SNORE_recall_online,2023.1.3,iPad,62.5,Seepferd,"[""return""]",0,[9.399000000000001],[null],0,11,11,22,1,Gorilla,7,emo_mid,long_word,Seepferd,8,ima_high,long_word,TRUE
,,,TEST,2024-07-02_11h24.37.039,SNORE_recall_online,2023.1.3,iPad,62.5,Stinktier,"[""return""]",0,[11.743999999999971],[null],0,12,12,31,1,Eidechse,8,emo_mid,long_word,Stinktier,9,ima_high,long_word,TRUE
,,,TEST,2024-07-02_11h24.37.039,SNORE_recall_online,2023.1.3,iPad,62.5,Motte,"[""return""]",0,[6.538999999999987],[null],0,13,13,17,1,Geier,5,emo_mid,short_word,Motte,5,ima_high,short_word,TRUE
,,,TEST,2024-07-02_11h24.37.039,SNORE_recall_online,2023.1.3,iPad,62.5,Sellerie,"[""return""]",0,[4.338999999999999],[null],0,14,14,12,1,Maikäfer,8,emo_mid,long_word,Sellerie,8,ima_high,long_word,TRUE
,,,TEST,2024-07-02_11h24.37.039,SNORE_recall_online,2023.1.3,iPad,62.5,Brombeeren,"[""return""]",0,[5.648000000000025],[null],0,15,15,3,1,Sprosse,7,emo_mid,long_word,Brombeere,9,ima_high,long_word,TRUE
,,,TEST,2024-07-02_11h24.37.039,SNORE_recall_online,2023.1.3,iPad,62.5,Larve,"[""return""]",0,[5.897999999999968],[null],0,16,16,5,1,Eule,4,emo_mid,short_word,Larve,5,ima_high,short_word,TRUE
,,,TEST,2024-07-02_11h24.37.039,SNORE_recall_online,2023.1.3,iPad,62.5,Buche,"[""return""]",0,[7.549000000000035],[null],0,17,17,4,1,Lorbeer,7,emo_mid,long_word,Walnuss,7,ima_high,long_word,TRUE
,,,TEST,2024-07-02_11h24.37.039,SNORE_recall_online,2023.1.3,iPad,62.5,Barche,"[""return""]",0,[16.496000000000038],[null],0,18,18,28,1,Kolibri,7,emo_mid,long_word,Thunfisch,9,ima_high,long_word,TRUE
,,,TEST,2024-07-02_11h24.37.039,SNORE_recall_online,2023.1.3,iPad,62.5,Getreide,"[""return""]",0,[6.272999999999968],[null],0,19,19,21,1,Languste,8,emo_mid,long_word,Getreide,8,ima_high,long_word,TRUE
,,,TEST,2024-07-02_11h24.37.039,SNORE_recall_online,2023.1.3,iPad,62.5,Buche,"[""return""]",0,[10.576000000000022],[null],0,20,20,0,1,Spore,5,emo_mid,short_word,Bulle,5,ima_high,short_word,TRUE
,,,TEST,2024-07-02_11h24.37.039,SNORE_recall_online,2023.1.3,iPad,62.5,Buche,"[""return""]",0,[3.09699999999998],[null],0,21,21,27,1,Wolf,4,emo_mid,short_word,Buche,5,ima_high,short_word,TRUE
,,,TEST,2024-07-02_11h24.37.039,SNORE_recall_online,2023.1.3,iPad,62.5,?,"[""return""]",0,[4.706000000000017],[null],0,22,22,26,1,Dromedar,8,emo_mid,long_word,Rosenkohl,9,ima_high,long_word,TRUE
,,,TEST,2024-07-02_11h24.37.039,SNORE_recall_online,2023.1.3,iPad,62.5,Ei,"[""return""]",0,[4.738999999999976],[null],0,23,23,23,1,Gaul,4,emo_mid,short_word,Ei,2,ima_high,short_word,TRUE
,,,TEST,2024-07-02_11h24.37.039,SNORE_recall_online,2023.1.3,iPad,62.5,Amsel,"[""return""]",0,[5.709000000000003],[null],0,24,24,9,1,Kuh,4,emo_mid,short_word,Amsel,5,ima_high,short_word,TRUE
,,,TEST,2024-07-02_11h24.37.039,SNORE_recall_online,2023.1.3,iPad,62.5,Bock,"[""return""]",0,[4.3629999999999995],[null],0,25,25,30,1,Quitte,6,emo_mid,short_word,Bock,4,ima_high,short_word,TRUE
,,,TEST,2024-07-02_11h24.37.039,SNORE_recall_online,2023.1.3,iPad,62.5,Wildkatze,"[""return""]",0,[7.58299999999997],[null],0,26,26,35,1,Raubtier,8,emo_mid,long_word,Wildkatze,9,ima_high,long_word,TRUE
,,,TEST,2024-07-02_11h24.37.039,SNORE_recall_online,2023.1.3,iPad,62.5,Fledermaus,"[""return""]",0,[5.253999999999962],[null],0,27,27,29,1,Säugetier,9,emo_mid,long_word,Fledermaus,10,ima_high,long_word,TRUE
,,,TEST,2024-07-02_11h24.37.039,SNORE_recall_online,2023.1.3,iPad,62.5,Weißkohl,"[""return""]",0,[6.124000000000024],[null],0,28,28,10,1,Nashorn,7,emo_mid,long_word,Weißkohl,8,ima_high,long_word,TRUE
,,,TEST,2024-07-02_11h24.37.039,SNORE_recall_online,2023.1.3,iPad,62.5,Walnuss,"[""return""]",0,[8.75],[null],0,29,29,24,1,Zeder,5,emo_mid,short_word,Ente,4,ima_high,short_word,TRUE
,,,TEST,2024-07-02_11h24.37.039,SNORE_recall_online,2023.1.3,iPad,62.5,Fichte,"[""return""]",0,[11.484999999999957],[null],0,30,30,6,1,Meise,5,emo_mid,short_word,Frucht,6,ima_high,short_word,TRUE
,,,TEST,2024-07-02_11h24.37.039,SNORE_recall_online,2023.1.3,iPad,62.5,Rebhuhn,"[""return""]",0,[9.990999999999985],[null],0,31,31,18,1,Busch,5,emo_mid,short_word,Krähe,5,ima_high,short_word,TRUE
,,,TEST,2024-07-02_11h24.37.039,SNORE_recall_online,2023.1.3,iPad,62.5,Pfau,"[""return""]",0,[6.948999999999955],[null],0,32,32,20,1,Vieh,4,emo_mid,short_word,Pfau,4,ima_high,short_word,TRUE
,,,TEST,2024-07-02_11h24.37.039,SNORE_recall_online,2023.1.3,iPad,62.5,M,"[""return""]",0,[29.37900000000002],[null],0,33,33,13,1,Lurch,5,emo_mid,short_word,Ratte,5,ima_high,short_word,TRUE
,,,TEST,2024-07-02_11h24.37.039,SNORE_recall_online,2023.1.3,iPad,62.5,Thunfisch,"[""return""]",0,[29.703999999999894],[null],0,34,34,11,1,Raupe,5,emo_mid,short_word,Fisch,5,ima_high,short_word,TRUE
,,,TEST,2024-07-02_11h24.37.039,SNORE_recall_online,2023.1.3,iPad,62.5,Hengst,"[""return""]",0,[3.7889999999999873],[null],0,35,35,15,1,Käfer,5,emo_mid,short_word,Hengst,6,ima_high,short_word,TRUE
,,,TEST,2024-07-02_11h24.37.039,SNORE_recall_online,2023.1.3,iPad,62.5,,,,,,,,,,,,,,,,,,,
